rn,unix_tstamp,synth_browser_category,synth_page_url,synth_geo_city
1,1556669112,1,https://www.ad.nl/binnenland/commandant-militaire-academie-geschorst-om-relaties-met-leerlingen~a71a0564/,Waddinxveen
2,1556669198,4,https://www.ad.nl/nijmegen/verzetsman-jean-van-geuns-95-woont-al-jaren-in-vs-niets-is-beter-dan-nederland~a3aa0bef/,Graz
3,1556669383,4,https://www.ad.nl/breda/hard-in-de-remmen-voor-nepflitsbus-breda~ac9c1cfc/,Almelo
4,1556669546,3,https://www.ad.nl/binnenland/drie-kopschoppers-trappen-martijn-bewusteloos-het-scheelde-niks-of-ik-was-er-niet-meer~ac6d7a79/,Alkmaar
5,1556669701,4,https://www.ad.nl/rotterdam/spelende-meisjes-krijgen-1750-euro-van-wildvreemde-man~adaeb823/,Weesp
6,1556669729,4,https://www.ad.nl/utrecht/meer-dan-duizend-automobilisten-br-op-a2-op-de-bon-voor-te-hard-rijden~a70b8580/,Nootdorp
7,1556669828,1,https://www.ad.nl/wonen/profvoetbaltrio-kleedt-de-hele-wereld-met-eigen-merk~a62f8478/,The Hague
8,1556670041,1,https://www.ad.nl/formule-1/verstappen-gat-met-ferrari-gedicht-op-mercedes-wat-verloren~ab2cf40d/,Dordrecht
9,1556670057,3,https://www.ad.nl/show/ronnie-flex-ontkent-dat-hij-realityster-nikki-ros-zwanger-maakte~ada37a48/,Nordhorn
10,1556670529,4,https://www.ad.nl/dossier-knvb-beker/ajax-grijpt-met-knvb-beker-eerste-prijs-in-vijf-jaar~a628b883/,Papendrecht
11,1556670957,1,https://www.ad.nl/dordrecht/fietsersbond-wil-geld-voor-zwijndrechtse-brug-ophalen~a187cb73/,Woerden
12,1556673672,4,https://www.ad.nl/giro/volledig-parkoers-en-alle-etappes-van-de-giro-d-italia~abb41799/,Schiedam
13,1556673700,1,https://www.ad.nl/binnenland/te-dikke-man-mag-weer-niet-in-beeld-komen-tijdens-dodenherdenking~a9cd00d8/,Zwolle
14,1556676056,1,https://www.ad.nl/reizen/blindedarmontsteking-op-vakantie-in-vs-kost-je-50-000~aacdd952/,Amsterdam
15,1556677065,1,https://www.ad.nl/rotterdam/rotterdamse-ouders-schrikken-van-brief-over-zorg-aan-hun-kind~aa9e3287/,Voorthuizen
16,1556677883,1,https://www.ad.nl/tennis/live-wint-bertens-het-wta-toernooi-in-madrid~a9fb5ddc/,Staphorst
17,1556678279,4,https://www.ad.nl/formule-1/live-verstappen-rijdt-weg-bij-vettel-en-staat-derde-hamilton-op-kop~a2a8cb3c/,Nijmegen
18,1556679576,3,https://www.ad.nl/binnenland/peter-r-de-vries-staat-op-dodenlijst-voortvluchtige-topgangster~a79fbec0/,Leusden
19,1556681122,2,https://www.ad.nl/show/sylvie-meis-bijt-van-zich-af-na-kritiek-op-botoxgezicht~a70e037d/,Hoofddorp
20,1556681423,1,https://www.ad.nl/show/zeg-maar-dag-tegen-de-zwakste-schakel-met-ijskonijn-bridget~abd2b53f/,Rotterdam
21,1556682200,1,https://www.ad.nl/show/prins-harry-annuleert-bezoek-aan-amsterdam~aefcbecb/,Roosendaal
22,1556682421,4,https://www.ad.nl/politiek/groenlinks-leider-klaver-keert-zich-tegen-eigen-leenstelsel~a5ac3303/,Rhoon
23,1556683476,1,https://www.ad.nl/politiek/inspectie-waarschuwt-te-weinig-mensen-bij-brandweer-en-politie~a8fa2155/,Apeldoorn
24,1556683585,1,https://www.ad.nl/koken-en-eten/een-ongezouten-advies-deze-kruiden-vervangen-zout~a8ff208d/,Zierikzee
25,1556683692,4,https://www.ad.nl/show/cristiano-ronaldo-koopt-duurste-racebolide-ter-wereld~acb9c881/,Utrecht
26,1556683779,3,https://www.ad.nl/show/tv-kijkers-verdeeld-over-superbitch-bridget-bij-vernieuwde-zwakste-schakel~a9e3cb09/,Schiedam
27,1556684118,1,https://www.ad.nl/binnenland/wijkblad-mag-niet-schrijven-over-azc-volledige-redactie-stapt-op~a1a66f25/,Paramaribo
28,1556684515,2,https://www.ad.nl/wonen/een-schaduwtuin-zo-fleur-je-m-op~a06f8aa9/,Amsterdam
29,1556684657,4,https://www.ad.nl/binnenland/fietsers-blij-toch-vier-zondagen-de-afsluitdijk-over~a939095a/,Nijmegen
30,1556684663,4,https://www.ad.nl/binnenland/we-houden-van-narcisten-en-we-houden-ervan-ze-te-haten~a9607547/,Heerlen
31,1556684667,1,https://www.ad.nl/buitenlands-voetbal/drie-maanden-schorsing-voor-zaakwaarnemer-raiola~ae4f49e1/,Enschede
32,1556684701,1,https://www.ad.nl/binnenland/basisscholieren-in-arme-wijken-massaal-op-achterstand~a41b70ed/,Utrecht
33,1556684749,2,https://www.ad.nl/rotterdam/wethouder-de-langen-rotterdam-krijgt-meer-opvangplekken-voor-mensen-met-problemen~abf449ae/,Lelystad
34,1556684991,4,https://www.ad.nl/den-haag/deurwaarders-nemen-zelfs-de-goudvissen-van-kinderen-mee-ik-zou-zo-graag-nu-al-een-verbod-willen~a03c2540/,Amsterdam
35,1556685017,3,https://www.ad.nl/show/georgina-verandert-in-dreinende-scholier-en-isa-herdenkt-overleden-moeder~a0b1fdff/,Zwolle
36,1556685081,4,https://www.ad.nl/zutphen/zutphen-wil-meedoen-aan-wietproef~a78d190c6/,Houten
37,1556685081,3,https://www.ad.nl/politiek/hiddema-geeft-te-veel-ontvangen-onkosten-aan-poezenboot~a587ef36/,Huizen
38,1556685085,3,https://www.ad.nl/buitenland/tientallen-terroristen-bestormen-kerk-in-burkina-faso-maken-zes-doden~a81a509d/,Palemig
39,1556685119,1,https://www.ad.nl/andere-sporten/genoeg-gewacht-rico-verhoeven-eist-een-gevecht-met-badr-hari-in-december~ad608099/,'s-Gravenzande
40,1556685239,3,https://www.ad.nl/show/stralende-harry-en-meghan-delen-eerste-beelden-van-hun-royal-baby~a0f26140c/,Delft
41,1556685348,1,https://www.ad.nl/binnenland/seniorencomplex-hilversum-onbewoonbaar-door-rookschade~a7673d55/,Amsterdam
42,1556685402,4,https://www.ad.nl/den-haag/twee-verdachten-aangehouden-na-dreigende-situatie-in-bioscoopzaal-in-den-haag~ae961cdb/,Katwijk
43,1556685413,1,https://www.ad.nl/binnenland/ns-spoor-zandvoort-kan-drukte-formule-1-niet-aan~aaf08af5/,Vessem
44,1556685573,4,https://www.ad.nl/politiek/kamer-fluit-amsterdam-terug-wij-gaan-over-autoplannen~a0c9e5f7/,Sint Jansteen
45,1556685574,4,https://www.ad.nl/tilburg/eritreeer-verdacht-van-verkrachting-het-is-opgelost-we-gaan-trouwen~aa981c30/,Apeldoorn
46,1556685581,2,https://www.ad.nl/gouda/mot-binnen-geledingen-van-goudapot~ac10951d/,Den Helder
47,1556685754,1,https://www.ad.nl/koken-en-eten/amsterdams-restaurant-serveert-stukjes-mens-om-bezoekers-te-laten-nadenken~abb9f427/,Amersfoort
48,1556685857,4,https://www.ad.nl/utrecht/primitief-kamperen-in-de-utrechtse-bossen-nu-kan-het-nog-maar-volgend-jaar-is-het-afgelopen~a73cf998/,Harmelen
49,1556686032,1,https://www.ad.nl/economie/groeiende-groep-werkenden-heeft-geen-cent-te-makken~a5b4ebb6/,Schiedam
50,1556686070,1,https://www.ad.nl/buitenland/zeven-doden-bij-geweld-in-gevangenis-guatemala~a82481c4/,Delft
51,1556686185,2,https://www.ad.nl/rotterdam/zie-jongens-echte-mannen-worden-mariniers-op-meesterproef~aeec2496/,Barendrecht
52,1556686187,4,https://www.ad.nl/binnenland/cda-landbouwgrond-beschermen-tegen-chinezen~a99bed22/,Amsterdam
53,1556686354,1,https://www.ad.nl/politiek/schreijer-pierik-ik-heb-alle-bonnen-weggegooid-zo-zat-was-ik-het~ac0ce80d/,Doorn
54,1556686424,1,https://www.ad.nl/buitenland/brexitpartij-nigel-farage-groter-dan-conservatieven-en-labour-samen~a0377d81/,Amsterdam
55,1556686457,3,https://www.ad.nl/binnenland/mannen-gaan-elkaar-met-messen-te-lijf-in-azc-gilze~a770fea8/,Almere Stad
56,1556686461,4,https://www.ad.nl/rotterdam/met-een-scootmobiel-de-metro-in-oefen-goed-en-doe-het-veilig~afec3cb6/,Amsterdam
57,1556686521,4,https://www.ad.nl/binnenland/drievoudig-moordverdachte-thijs-h-ging-door-het-lint-in-nieuwe-woning~a8233639/,Mijnsheerenland
58,1556686675,2,https://www.ad.nl/economie/aegon-eist-dat-oliereuzen-bp-en-exxonmobil-groener-worden~a86a8ac8/,Schiedam
59,1556686807,4,https://www.ad.nl/auto/ook-dit-grote-duitse-automerk-zet-nu-maximaal-in-op-waterstof~a101b53e/,Kreuzlingen
60,1556686868,1,https://www.ad.nl/binnenland/politie-vindt-zwaar-verwaarloosde-jochies-in-flat-ze-vertoonden-dierlijk-gedrag~a22e3023/,Amsterdam
61,1556686896,2,https://www.ad.nl/nederlands-voetbal/willem-ii-neemt-peters-aanvoerdersband-af~a57c8f99/,Wormer
62,1556686942,2,https://www.ad.nl/binnenland/basisscholieren-in-achterstandswijken-massaal-op-achterstand~a41b70ed/,Voorburg
63,1556687123,3,https://www.ad.nl/rotterdam/herman-den-blijker-zoekt-in-tv-show-team-voor-zijn-pop-uprestaurant~a7ebfa69/,Schiedam
64,1556687368,3,https://www.ad.nl/auto/20-tips-voor-een-eeuwig-leven-van-je-auto~a662a81b/,Barendrecht
65,1556687369,1,https://www.ad.nl/binnenland/benzine-en-dieselauto-s-vanaf-2030-verboden-in-amsterdam~a8691241/,Kyiv
66,1556687481,3,https://www.ad.nl/rotterdam/handweigering-zet-kwaad-bloed-rotterdamse-gele-hesjes-voortaan-in-het-oranje~af0059e2/,The Hague
67,1556687591,1,https://www.ad.nl/politiek/hans-brusselmans-van-de-sp-lijkt-wel-heel-erg-op-frans-timmermans~a56b6539/,Vlaardingen
68,1556687679,1,https://www.ad.nl/buitenland/8-jarige-jemenitische-bruid-overleeft-huwelijksnacht-niet~a7bdcd6d/,Amsterdam
69,1556687803,4,https://www.ad.nl/den-haag/prins-harry-fietst-rondje-zuiderpark-prinses-margriet-verrast-hem-met-schattig-rompertje~a8072a36/,Rotterdam
70,1556687830,3,https://www.ad.nl/binnenland/benzineauto-s-moeten-de-stad-uit-vanaf-2030~a8691241/,Leeuwarden
71,1556687957,4,https://www.ad.nl/binnenland/jodenhaat-valt-niet-alleen-moslims-in-de-schoenen-te-schuiven~a8e64989/,Rotterdam
72,1556688062,2,https://www.ad.nl/binnenland/inspectie-in-verdediging-tegen-documentaire-over-zaak-tuitjenhorn~a8052667/,Amsterdam
73,1556688127,4,https://www.ad.nl/economie/dierenrecht-stapt-naar-rechter-om-verbod-roostervloeren-voor-kalfjes-af-te-dwingen~a2a7ee7d/,Borne
74,1556688284,4,https://www.ad.nl/woerden/tragisch-ongeval-in-waarder-kind-van-2-jaar-overlijdt~aab498e2/,Schiedam
75,1556688335,3,https://www.ad.nl/home/met-dank-aan-de-muziekdocent~a1705bb8/,Rotterdam
76,1556688477,3,https://www.ad.nl/auto/nederland-minste-diesels-meeste-stekkerauto-s~acb751a9/,Tiel
77,1556688648,3,https://www.ad.nl/binnenland/circa-117-000-gelekte-cv-s-van-uwv-mogelijk-in-handen-criminelen~aec97d70/,Zoetermeer
78,1556688759,4,https://www.ad.nl/politiek/nederland-amerikaanse-haatprediker-komt-er-niet-in~aea857f4/,Apeldoorn
79,1556688883,4,https://www.ad.nl/westland/brandweer-redt-baby-bij-brand-in-uitgaanscentrum-naaldwijk~aa899545/,Amsterdam
80,1556688891,3,https://www.ad.nl/dossier-bekerfinale-willem-ii-ajax/geen-huldiging-als-ajax-de-knvb-beker-wint~a09b20a8/,Geleen
81,1556689042,1,https://www.ad.nl/delft/prachtig-toch-die-slechtvalken~a1548ca2/,Hengelo
82,1556689071,1,https://www.ad.nl/buitenland/nederlandse-trucker-33-aan-dood-ontsnapt-bij-botsing-met-trein-duitsland~ace32ece/,Leeuwarden
83,1556689199,4,https://www.ad.nl/binnenland/man-en-vrouw-doodgestoken-tijdens-uitlaten-van-hond-op-heide-bij-heerlen~a8689b91/,Genk
84,1556689365,3,https://www.ad.nl/rotterdam/pas-nog-bij-het-pinnen-schreeuwde-een-jongen-dat-hij-mijn-geld-wilde~acbed5bd/,Olst
85,1556689426,3,https://www.ad.nl/boxtel/vrees-dat-varkens-moeten-worden-geruimd-na-actie-in-boxtel-dit-mag-nooit-meer-gebeuren~a493cf90/,Boxtel
86,1556689500,3,https://www.ad.nl/rivierenland/bijen-houden-zo-populair-dat-de-biesbosch-inmiddels-vol-is~a55c84133/,Hilversum
87,1556689637,1,https://www.ad.nl/boxtel/vrees-dat-varkens-moeten-worden-geruimd-na-actie-in-boxtel-dit-mag-nooit-meer-gebeuren~a493cf90/,Utrecht
88,1556689803,1,https://www.ad.nl/den-haag/na-de-zomer-begint-de-grote-kaalslag-en-gaan-2200-onveilige-populieren-tegen-de-grond~a12e188c/,Cannes
89,1556689848,4,https://www.ad.nl/binnenland/circa-117-000-gelekte-cv-s-van-uwv-mogelijk-in-handen-criminelen~aec97d70/,Haaksbergen
90,1556689904,4,https://www.ad.nl/binnenland/reizigersvereniging-niet-naar-de-rechter-om-ov-staking~aaf396a9/,Alkmaar
91,1556690095,4,https://www.ad.nl/wonen/man-wordt-pas-volwassen-op-43-jarige-leeftijd~a0011eb5/,The Hague
92,1556690110,4,https://www.ad.nl/rotterdam/jolanda-de-witte-d66-voorgedragen-als-burgemeester-van-albrandswaard~a3530d9b/,Hoofddorp
93,1556690227,2,https://www.ad.nl/show/minister-slob-peinst-niet-over-hoger-salaris-voor-matthijs-van-nieuwkerk~ae44c4ec/,Amsterdam
94,1556690256,2,https://www.ad.nl/economie/pensioenen-korten-maar-we-bulken-van-het-geld~a6d7c91e/,Almere Stad
95,1556690273,1,https://www.ad.nl/andere-sporten/hardlooppodcast-de-pacer-de-marathon-is-geen-bucketlistdingetje~a1672c3e/,Hengelo
